file_path,date,importance
001-160091.json,2016-01-21,4
001-160312.json,2016-02-02,4
001-160264.json,2016-02-02,4
001-160417.json,2016-02-09,4
001-162217.json,2016-04-28,4
001-163805.json,2016-06-21,4
001-163821.json,2016-06-21,4
001-163810.json,2016-06-21,4
001-164314.json,2016-06-28,4
001-164467.json,2016-07-07,4
001-164661.json,2016-07-12,4
001-164672.json,2016-07-12,4
001-164658.json,2016-07-12,4
001-164677.json,2016-07-12,4
001-166482.json,2016-08-30,4
001-166687.json,2016-09-15,4
001-166689.json,2016-09-15,4
001-166734.json,2016-09-20,4
001-166935.json,2016-10-04,4
001-166916.json,2016-10-04,4
001-166957.json,2016-10-06,4
001-168054.json,2016-10-06,4
001-167124.json,2016-10-13,4
001-167555.json,2016-10-20,4
001-167557.json,2016-10-20,4
001-167800.json,2016-10-25,4
001-168391.json,2016-11-10,4
001-168859.json,2016-11-24,4
001-170061.json,2017-01-12,4
001-170365.json,2017-01-19,4
001-170651.json,2017-02-02,4
001-171097.json,2017-02-14,4
001-171102.json,2017-02-14,4
001-171091.json,2017-02-14,4
001-172072.json,2017-03-14,4
001-172131.json,2017-03-23,4
001-173265.json,2017-05-02,4
001-173390.json,2017-05-04,4
001-173471.json,2017-05-16,4
001-173801.json,2017-05-30,4
001-174418.json,2017-06-15,4
001-174439.json,2017-06-22,4
001-175142.json,2017-07-11,4
001-175159.json,2017-07-13,4
001-176759.json,2017-09-05,4
001-176927.json,2017-09-12,4
001-177399.json,2017-10-10,4
001-177434.json,2017-10-12,4
001-177937.json,2017-10-24,4
001-178379.json,2017-11-09,4
001-178714.json,2017-11-21,4
001-178954.json,2017-11-28,4
001-179193.json,2017-11-28,4
001-178865.json,2017-11-30,4
001-178871.json,2017-11-30,4
001-179406.json,2017-12-12,4
001-179876.json,2018-01-09,4
001-180315.json,2018-01-25,4
001-180647.json,2018-02-08,4
001-180846.json,2018-02-13,4
001-182860.json,2018-05-15,4
001-182847.json,2018-05-15,4
001-182865.json,2018-05-15,4
001-182867.json,2018-05-17,4
001-183118.json,2018-05-22,4
001-183547.json,2018-06-14,4
001-183554.json,2018-06-14,4
001-184060.json,2018-06-26,4
001-185032.json,2018-06-28,4
001-184493.json,2018-07-10,4
001-184489.json,2018-07-10,4
001-184670.json,2018-07-17,4
001-184814.json,2018-07-24,4
001-186134.json,2018-09-20,4
001-186381.json,2018-09-25,4
001-186699.json,2018-09-25,4
001-186433.json,2018-10-02,4
001-186441.json,2018-10-04,4
001-186792.json,2018-10-18,4
001-187250.json,2018-10-23,4
001-187240.json,2018-10-23,4
001-187599.json,2018-11-13,4
001-187575.json,2018-11-15,4
001-187938.json,2018-12-06,4
001-188360.json,2018-12-18,4
001-188393.json,2018-12-20,4
001-188384.json,2018-12-20,4
001-189758.json,2019-02-12,4
001-191489.json,2019-03-05,4
001-192767.json,2019-04-30,4
001-193607.json,2019-06-13,4
001-193608.json,2019-06-13,4
001-194736.json,2019-07-23,4
001-194858.json,2019-07-30,4
001-195979.json,2019-09-24,4
001-196143.json,2019-10-03,4
001-196370.json,2019-10-08,4
001-196415.json,2019-10-08,4
001-196419.json,2019-10-08,4
001-197211.json,2019-10-29,4
001-198465.json,2019-11-14,4
001-198471.json,2019-11-21,4
001-200333.json,2020-01-14,4
001-200346.json,2020-01-14,4
001-200345.json,2020-01-14,4
001-200324.json,2020-01-16,4
001-200313.json,2020-01-16,4
001-200546.json,2020-01-28,4
001-200840.json,2020-02-11,4
001-201093.json,2020-02-18,4
001-201086.json,2020-02-20,4
001-201325.json,2020-02-25,4
001-202427.json,2020-05-26,4
001-202537.json,2020-05-26,4
001-202555.json,2020-05-28,4
001-202620.json,2020-06-02,4
001-202615.json,2020-06-04,4
001-203563.json,2020-07-16,4
001-204692.json,2020-09-24,4
001-204848.json,2020-10-06,4
001-205062.json,2020-10-13,4
001-205165.json,2020-10-20,4
001-205987.json,2020-11-05,4
001-206263.json,2020-12-01,4
001-206502.json,2020-12-15,4
001-206508.json,2020-12-17,4
001-207017.json,2020-12-22,4
001-208363.json,2021-03-09,4
001-208412.json,2021-03-09,4
001-208414.json,2021-03-11,4
001-208540.json,2021-03-16,4
001-208547.json,2021-03-18,4
001-208754.json,2021-03-25,4
001-208753.json,2021-03-25,4
001-208890.json,2021-04-01,4
001-209356.json,2021-04-22,4
001-209453.json,2021-04-29,4
001-210019.json,2021-05-20,4
001-210298.json,2021-05-27,4
001-210464.json,2021-06-22,4
001-210870.json,2021-07-06,4
001-211020.json,2021-07-13,4
001-211100.json,2021-07-22,4
001-211134.json,2021-07-22,4
001-211584.json,2021-08-31,4
001-211806.json,2021-09-16,4
001-211892.json,2021-09-28,4
001-212028.json,2021-09-30,4
001-212009.json,2021-09-30,4
001-212141.json,2021-10-14,4
001-212372.json,2021-10-19,4
001-213730.json,2021-12-02,4
001-214768.json,2022-01-13,4
001-215472.json,2022-02-08,4
001-215701.json,2022-02-10,4
001-216721.json,2022-03-31,4
001-217631.json,2022-06-09,4
001-218028.json,2022-06-23,4
001-218136.json,2022-07-07,4
001-219118.json,2022-09-15,4
001-219484.json,2022-10-06,4
001-219708.json,2022-10-13,4
001-220550.json,2022-11-10,4
001-221247.json,2022-12-01,4
001-221243.json,2022-12-01,4
001-221518.json,2022-12-15,4
001-221559.json,2022-12-15,4
001-221564.json,2022-12-15,4
001-221561.json,2022-12-15,4
001-223303.json,2023-03-02,4
001-223710.json,2023-03-30,4
001-224078.json,2023-04-13,4
001-225444.json,2023-06-27,4
001-225666.json,2023-07-06,4
001-226487.json,2023-09-14,4
