,date,file_path,importance,articles
0,2022-11-10,001-220960.json,kc,"['3', '7', '41']"
1,2022-11-03,001-220484.json,kc,"['3', '37']"
2,2022-10-18,001-219943.json,kc,"['p4-2', '7']"
3,2022-09-14,001-219333.json,kc,"['1', '41', '46', '35', 'p4-3', '34']"
4,2022-09-08,001-219067.json,kc,"['3', '41']"
5,2022-08-30,001-218933.json,kc,"['8', '41']"
6,2022-07-21,001-218424.json,kc,"['41', '3', '8', '37', '13']"
7,2021-12-10,001-214433.json,kc,"['8', '9', '41']"
8,2021-12-07,001-214330.json,kc,"['3', '8', '41']"
9,2021-12-07,001-213908.json,kc,"['35', '11']"
10,2021-11-25,001-213827.json,kc,"['8', '10']"
11,2021-08-31,001-211592.json,kc,"['6', 'p7-4', '41']"
12,2021-07-22,001-211125.json,kc,"['6', '8', '41', '35']"
13,2021-07-06,001-210874.json,kc,"['7', '10', '35']"
14,2021-06-15,001-210463.json,kc,"['2', '5', '35']"
15,2021-06-01,001-210363.json,kc,['5']
16,2021-05-25,001-210078.json,kc,"['34', '8']"
17,2021-05-25,001-210077.json,kc,"['34', '8', '10']"
18,2021-04-15,001-209520.json,kc,"['3', '41']"
19,2021-04-13,001-209373.json,kc,"['3', '35', '8', '41']"
20,2021-03-30,001-208877.json,kc,"['2', '34', '35', '41']"
21,2021-03-25,001-209069.json,kc,"['3', '35', '41']"
22,2021-02-18,001-208326.json,kc,"['5', '18', '41']"
23,2021-02-16,001-208279.json,kc,"['1', '2', '35']"
24,2021-02-09,001-208053.json,kc,"['6', '8', '35']"
25,2021-02-04,001-207633.json,kc,"['p1-1', '41', '14']"
26,2021-02-02,001-207953.json,kc,"['3', '35', '8', '41']"
27,2021-01-21,001-207757.json,kc,"['1', 'p1-1', '41', '2', '3', '8', 'p1-2', '5', '35', 'p4-2', '38', '15', '33']"
28,2021-01-14,001-207360.json,kc,"['3', 'p7-4', '41', '14']"
29,2020-12-22,001-207173.json,kc,"['p1-3', '41', '18', '46', '5', '35', '34', '10']"
30,2020-12-17,001-206515.json,kc,"['35', '8', '41']"
31,2020-12-10,001-206369.json,kc,"['5', '41']"
32,2020-12-01,001-206582.json,kc,"['6', '41', '46']"
33,2020-11-17,001-206153.json,kc,"['3', '37']"
34,2020-11-05,001-205536.json,kc,"['6', '41']"
35,2020-10-20,001-205222.json,kc,['p12-1']
36,2020-10-13,001-204993.json,kc,['p12-1']
37,2020-09-17,001-204603.json,kc,"['2', '35', '41']"
38,2020-08-04,001-203825.json,kc,"['2', '35', '41']"
39,2020-07-23,001-203840.json,kc,"['41', '3', 'p4-4', '13', '34']"
40,2020-07-02,001-203645.json,kc,"['3', '41']"
41,2020-06-25,001-203169.json,kc,"['35', '8', '41', '10']"
42,2020-06-25,001-203503.json,kc,"['4', '41']"
43,2020-06-25,001-203165.json,kc,"['9', '41']"
44,2020-06-11,001-203213.json,kc,"['7', '41', '10']"
45,2020-06-02,001-202621.json,kc,"['2', '35']"
46,2020-05-28,001-202532.json,kc,"['6', '41', '35']"
47,2020-05-26,001-202524.json,kc,"['2', '38', '14']"
48,2020-03-10,001-201646.json,kc,"['3', '8', '14', '35', '34']"
49,2020-02-13,001-201353.json,kc,"['1', '35', 'p4-4', '37', '13', '34']"
50,2020-02-11,001-201342.json,kc,"['3', '35', '8', '41']"
51,2020-01-30,001-200442.json,kc,['8']
52,2020-01-20,001-200657.json,kc,"['41', '10']"
53,2020-01-14,001-200344.json,kc,"['41', '8', '14', '35', '13', '34']"
54,2019-11-21,001-198760.json,kc,"['41', '3', '5', '35', '13']"
55,2019-11-21,001-198811.json,kc,"['3', '5', '41']"
56,2019-10-31,001-197253.json,kc,"['41', '3', '8', '35', '13']"
57,2019-10-17,001-197098.json,kc,"['6', '8', '35']"
58,2019-07-09,001-194618.json,kc,"['1', '2', '3', '41']"
59,2019-07-08,001-194523.json,kc,"['p7-4', '41']"
60,2019-06-25,001-194307.json,kc,"['2', '3', '8', '6', '35']"
61,2019-06-04,001-193494.json,kc,"['6', '46', '41', '35']"
62,2019-04-11,001-192616.json,kc,['8']
63,2019-04-09,001-192210.json,kc,"['6', '8', '41']"
64,2019-02-28,001-191587.json,kc,"['3', '41']"
65,2019-02-28,001-191276.json,kc,"['35', '8', '41']"
66,2019-01-31,001-189426.json,kc,"['2', '35', '41']"
67,2019-01-29,001-189641.json,kc,['8']
68,2019-01-29,001-189781.json,kc,"['2', '35', '41']"
69,2018-12-19,001-188985.json,kc,"['p1-1', '41', '14', '35', '34']"
70,2018-12-18,001-187932.json,kc,"['6', '35']"
71,2018-12-11,001-188268.json,kc,"['34', '35', 'p1-1']"
72,2018-12-04,001-187540.json,kc,"['5', '6', '7', '41']"
73,2018-12-04,001-187930.json,kc,"['8', '41', '10']"
74,2018-11-15,001-187605.json,kc,"['11', '41', '18', '46', '5', '6', '35']"
